Voltage; Resistencia; CO2 PPM;CO2 PPM1 ; RH; Temp
0,42903;10654,13534;1978,41339;56939,04389;50,74215;24,23840
0,40968;11204,72441;1720,76806;42167,81570;50,49019;24,24335
0,40000;11500,00000;1601,18491;36111,83981;50,53549;24,25518
0,39355;11704,91803;1524,76005;32503,55900;50,41132;24,25003
0,38065;12135,59322;1379,58370;26205,84157;50,38223;24,25690
0,37419;12362,06897;1310,72712;23471,23812;50,26808;24,26491
0,37097;12478,26087;1277,20902;22198,30964;50,24052;24,26662
0,36774;12596,49123;1244,28916;20985,01724;50,22469;24,26739
0,36452;12716,81416;1211,96117;19829,00054;50,18454;24,27387
0,36452;12716,81416;1211,96117;19829,00054;50,18749;24,28417
0,36452;12716,81416;1211,96117;19829,00054;50,23870;24,29600
0,36129;12839,28571;1180,21869;18727,97604;50,21334;24,31526
0,36129;12839,28571;1180,21869;18727,97604;50,10500;24,31889
0,36129;12839,28571;1180,21869;18727,97604;50,18454;24,33186
0,35806;12963,96396;1149,05544;17679,73509;50,18826;24,32995
0,35484;13090,90909;1118,46513;16682,14197;50,18435;24,32194
0,35484;13090,90909;1118,46513;16682,14197;50,30718;24,30801
0,35484;13090,90909;1118,46513;16682,14197;50,34771;24,31278
0,35484;13090,90909;1118,46513;16682,14197;50,27790;24,31641
0,35484;13090,90909;1118,46513;16682,14197;50,26331;24,31374
0,35484;13090,90909;1118,46513;16682,14197;50,24614;24,30458
0,35484;13090,90909;1118,46513;16682,14197;50,29383;24,30630
0,35161;13220,18349;1088,44154;15733,13191;50,45023;24,30363
0,35484;13090,90909;1118,46513;16682,14197;50,44060;24,29428
0,35161;13220,18349;1088,44154;15733,13191;50,38481;24,30248
0,35161;13220,18349;1088,44154;15733,13191;50,32625;24,29600
0,35161;13220,18349;1088,44154;15733,13191;50,28152;24,30363
0,35161;13220,18349;1088,44154;15733,13191;50,24052;24,30630
0,35161;13220,18349;1088,44154;15733,13191;50,14458;24,31965
0,35161;13220,18349;1088,44154;15733,13191;50,20266;24,32861
0,35161;13220,18349;1088,44154;15733,13191;50,19169;24,33186
0,35161;13220,18349;1088,44154;15733,13191;50,16842;24,31717
0,35161;13220,18349;1088,44154;15733,13191;50,23165;24,29562
0,35161;13220,18349;1088,44154;15733,13191;50,28009;24,28436
0,35161;13220,18349;1088,44154;15733,13191;50,25444;24,26872
0,35161;13220,18349;1088,44154;15733,13191;50,26484;24,25575
0,35161;13220,18349;1088,44154;15733,13191;50,23775;24,24889
0,35161;13220,18349;1088,44154;15733,13191;50,27571;24,24183
0,35161;13220,18349;1088,44154;15733,13191;50,32129;24,24927
0,35161;13220,18349;1088,44154;15733,13191;50,32215;24,25480
0,35161;13220,18349;1088,44154;15733,13191;50,33655;24,26300
0,35161;13220,18349;1088,44154;15733,13191;50,33302;24,26777
0,35161;13220,18349;1088,44154;15733,13191;50,33445;24,26987
0,35161;13220,18349;1088,44154;15733,13191;50,34399;24,27330
0,35161;13220,18349;1088,44154;15733,13191;50,36469;24,26987
0,35161;13220,18349;1088,44154;15733,13191;50,33960;24,26815
0,35161;13220,18349;1088,44154;15733,13191;50,41428;24,26872
0,35161;13220,18349;1088,44154;15733,13191;50,42429;24,27387
0,35161;13220,18349;1088,44154;15733,13191;50,30870;24,27940
0,35161;13220,18349;1088,44154;15733,13191;50,27428;24,28246
0,35161;13220,18349;1088,44154;15733,13191;50,20933;24,28417
0,34839;13351,85185;1058,97844;14830,70927;50,12589;24,29199
0,34839;13351,85185;1058,97844;14830,70927;50,06981;24,30077
0,34839;13351,85185;1058,97844;14830,70927;49,98322;24,30210
0,34839;13351,85185;1058,97844;14830,70927;49,94860;24,30840
0,34839;13351,85185;1058,97844;14830,70927;49,94440;24,31374
0,34839;13351,85185;1058,97844;14830,70927;49,95985;24,31850
0,34839;13351,85185;1058,97844;14830,70927;49,98922;24,30840
0,34839;13351,85185;1058,97844;14830,70927;49,78590;24,29409
0,34194;13622,64151;1001,70912;13157,97812;49,82491;24,27483
